key_path,source_file,english_value,key_type,inferred_context,confidence,context_status,user_context
NAD_SAML_SSO,ZaMsg.properties,SAML/SSO,nav/section label,"Left-hand navigation tab label for the SAML/SSO settings section, shown under both Domain and Global Config admin settings",High,RESOLVED,
LBL_zimbraMyoneloginSamlSigningCert,ZaMsg.properties,IdP’s X.509 signing certificate:,field label,"Textbox label for the IdP signing certificate field in the SAML/SSO settings section",High,RESOLVED,
LBL_zimbraSamlSpEntityId,ZaMsg.properties,SP Entity ID:,field label,Textbox label in the SAML/SSO settings section,High,RESOLVED,
LBL_zimbraSamlACSURL,ZaMsg.properties,Assertion Consumer Service URL:,field label,Textbox label in the SAML/SSO settings section,High,RESOLVED,
LBL_zimbraSamlSSOURL,ZaMsg.properties,IdP Single Sign-On (SSO) URL:,field label,Textbox label in the SAML/SSO settings section,High,RESOLVED,
LBL_zimbraSamlSLOURL,ZaMsg.properties,IdP Single Logout (SLO) URL:,field label,Textbox label in the SAML/SSO settings section,High,RESOLVED,
LBL_zimbraSamlNameIdFormat,ZaMsg.properties,NameID format:,field label,Dropdown/textbox label in the SAML/SSO settings section,High,RESOLVED,
LBL_zimbraSamlDateFormat,ZaMsg.properties,Date format for instant timestamps:,field label,Textbox label in the SAML/SSO settings section,High,RESOLVED,
LBL_zimbraSamlLogoutLandingURL,ZaMsg.properties,Logout landing redirect URL:,field label,Textbox label in the SAML/SSO settings section,High,RESOLVED,
LBL_zimbraSamlDocumentEncoding,ZaMsg.properties,Document encoding:,field label,Textbox label in the SAML/SSO settings section,High,RESOLVED,
LBL_zimbraSamlErrorURL,ZaMsg.properties,Error redirect URL:,field label,Textbox label in the SAML/SSO settings section,High,RESOLVED,
LBL_zimbraSamlInactiveAccountURL,ZaMsg.properties,Inactive account redirect URL:,field label,Textbox label in the SAML/SSO settings section,High,RESOLVED,
LBL_zimbraSamlWebclientDisabledAccountUrl,ZaMsg.properties,Webclient-disabled account redirect URL:,field label,Textbox label in the SAML/SSO settings section,High,RESOLVED,
LBL_zimbraSamlSpSigningKey,ZaMsg.properties,SP signing key:,field label,Textbox label in the SAML/SSO settings section,High,RESOLVED,
LBL_zimbraSamlSpSigningCertificate,ZaMsg.properties,SP signing certificate:,field label,Textbox label in the SAML/SSO settings section,High,RESOLVED,
LBL_zimbraCsrfRefererCheckEnabled,ZaMsg.properties,CSRF referer check:,field/checkbox label,Checkbox/field label in the SAML/SSO settings section (Global Config),High,RESOLVED,
LBL_zimbraCsrfAllowedRefererHosts,ZaMsg.properties,CSRF allowed referer host:,field label,Textbox label in the SAML/SSO settings section (Global Config),High,RESOLVED,
LBL_xmlFile,ZaMsg.properties,XML file:,field label,"Label for the file-picker field used to select an IdP metadata XML file for upload",High,RESOLVED,
LBL_upload,ZaMsg.properties,Upload,button label,"Button label next to the XML file field, to upload the selected IdP metadata XML file",High,RESOLVED,
LBL_samlXmlUploadExplanation,ZaMsg.properties,You can upload IdP metadata XML to fill the fields below.,description text,"Helper/instructional text shown above the XML upload control in the SAML/SSO settings section",High,RESOLVED,
fileUnselectedError,ZaMsg.properties,You must choose a file.,error message,"Error dialog message shown when the admin clicks Upload without selecting an XML file first",High,RESOLVED,
parseXmlSuccessful,ZaMsg.properties,XML file could be parsed successfully.,success/info message,"Info dialog message shown when the uploaded IdP metadata XML file parses successfully",High,RESOLVED,
parseXmlFailed,ZaMsg.properties,XML file could not be parsed.,error message,"Error dialog message shown when the uploaded IdP metadata XML file fails to parse (may be followed by technical error details)",High,RESOLVED,
LBL_samlTestInformation,ZaMsg.properties,SP initiated login URL will use the Domain from configured URL in zimbraWebClientLoginURL value. Test SSO needs active account on IdP & Zimbra both for test to succeed.,description text,"Informational note/callout text in the SAML test section explaining prerequisites for a successful test",High,RESOLVED,
LBL_samlTestExplanation,ZaMsg.properties,You can test SAML login based on the saved settings. Please make sure settings are saved before you start testing.,description text,"Helper/instructional text in the SAML test section, shown above the Test now button",High,RESOLVED,
LBL_testNow,ZaMsg.properties,Test now,button label,"Button label to trigger a SAML SSO test login in the SAML/SSO settings section",High,RESOLVED,
LBL_samlStatus,ZaMsg.properties,SAML status:,field label,"Read-only field label showing the current SAML test status (see samlStatus* values)",High,RESOLVED,
LBL_samlLastTested,ZaMsg.properties,Last tested:,field label,"Read-only field label showing the timestamp of the last SAML test run",High,RESOLVED,
samlStatusNotTested,ZaMsg.properties,Not tested,status value,"Value shown in the SAML status field when no test has been run yet",High,RESOLVED,
samlStatusInProgress,ZaMsg.properties,In progress,status value,"Value shown in the SAML status field while a test is currently running",High,RESOLVED,
samlStatusFailed,ZaMsg.properties,Failed ({0}),status value with placeholder,"Value shown in the SAML status field when a test fails; {0} is replaced with a short failure reason from one of the samlTestError_* strings — keep the {0} placeholder in the same relative position",High,RESOLVED,
samlStatusSucceeded,ZaMsg.properties,Succeeded,status value,"Value shown in the SAML status field when a test completes successfully",High,RESOLVED,
LBL_confirmation,ZaMsg.properties,Confirmation,dialog title,"Title of a Yes/No confirmation dialog (used here for the ""another admin may be testing"" prompt)",High,RESOLVED,
samlInTestingByAnotherAdmin,ZaMsg.properties,Another administrator may be testing. Do you want to start testing? The other test will fail if you start it.,confirmation dialog message,"Body text of the Yes/No confirmation dialog shown when a SAML test may already be in progress by another admin",High,RESOLVED,
samlTestConfigurationError,ZaMsg.properties,Neither zimbraWebClientLoginURL nor zimbraPublicServiceHostname is configured. Please update configuration and try it again.,error dialog message,"Error dialog message shown when required server configuration is missing before a SAML test can start",High,RESOLVED,
samlTestInitializationError,ZaMsg.properties,Initialization for SAML test failed. Please wait for a while and try it again.,error dialog message,"Error dialog message shown when the SAML test popup window fails to initialize",High,RESOLVED,
samlTestResultFetchError,ZaMsg.properties,Test result could not be fetched. Please reload the page to get the result.,error dialog message,"Error dialog message shown when the SAML test result cannot be retrieved from the server",High,RESOLVED,
samlTestError_MISSING_SAML_RESPONSE,ZaMsg.properties,IdP did not return SAMLResponse,short error reason,"Short failure-reason phrase substituted into samlStatusFailed's {0} placeholder — technical/enterprise register, not a full sentence",High,RESOLVED,
samlTestError_MISSING_PAYLOAD,ZaMsg.properties,SAMLResponse content was empty or corrupted,short error reason,"Short failure-reason phrase substituted into samlStatusFailed's {0} placeholder",High,RESOLVED,
samlTestError_NAMEID_NOT_FOUND,ZaMsg.properties,An account was not found or NameID format mismatch,short error reason,"Short failure-reason phrase substituted into samlStatusFailed's {0} placeholder",High,RESOLVED,
samlTestError_CERT_MISMATCH,ZaMsg.properties,Certificate mismatch,short error reason,"Short failure-reason phrase substituted into samlStatusFailed's {0} placeholder",High,RESOLVED,
samlTestError_ACS_URL_MISMATCH,ZaMsg.properties,ACS URL configured in IdP did not match an actual endpoint in Zimbra,short error reason,"Short failure-reason phrase substituted into samlStatusFailed's {0} placeholder",High,RESOLVED,
samlTestError_ASSERTION_NOT_YET_VALID,ZaMsg.properties,Assertion not yet valid,short error reason,"Short failure-reason phrase substituted into samlStatusFailed's {0} placeholder",High,RESOLVED,
samlTestError_ASSERTION_EXPIRED,ZaMsg.properties,Assertion expired,short error reason,"Short failure-reason phrase substituted into samlStatusFailed's {0} placeholder",High,RESOLVED,
samlTestError_RESPONSE_STATUS_ERROR,ZaMsg.properties,IdP returned a non-success response,short error reason,"Short failure-reason phrase substituted into samlStatusFailed's {0} placeholder",High,RESOLVED,
samlTestError_INVALID_PROTOCOL,ZaMsg.properties,Unsupported SAML version,short error reason,"Short failure-reason phrase substituted into samlStatusFailed's {0} placeholder",High,RESOLVED,
samlTestError_SERVER_NOT_FOUND,ZaMsg.properties,No mailbox server was found for an authenticated account,short error reason,"Short failure-reason phrase substituted into samlStatusFailed's {0} placeholder",High,RESOLVED,
samlTestError_WEBCLIENT_DISABLED,ZaMsg.properties,Web client feature was disabled on an authenticated account,short error reason,"Short failure-reason phrase substituted into samlStatusFailed's {0} placeholder",High,RESOLVED,
samlTestError_INTERNAL_ERROR,ZaMsg.properties,Internal server error,short error reason,"Short failure-reason phrase substituted into samlStatusFailed's {0} placeholder",High,RESOLVED,
samlTestError_ACCOUNT_INACTIVE,ZaMsg.properties,An authenticated account was not active on Zimbra,short error reason,"Short failure-reason phrase substituted into samlStatusFailed's {0} placeholder; also used as a catch-all for several SSO account-state error codes (locked/lockout/closed/pending/maintenance)",High,RESOLVED,
samlTestError_Unknown,ZaMsg.properties,Unknown error,short error reason,"Fallback short failure-reason phrase substituted into samlStatusFailed's {0} placeholder when the error code doesn't match any known samlTestError_* key",High,RESOLVED,
LBL_csrfAllowedRefererHostsInformation,ZaMsg.properties,"It may take an hour or more for changes of CSRF allowed referer host to reflect, depending on environment configuration.",description text,"Informational callout text shown above the CSRF allowed referer host field in the Domain admin settings SAML/SSO section",High,RESOLVED,
