lang,key_path,source_file,english_value,current_value,verdict,reasoning,proposed_correction
ar,NAD_SAML_SSO,ZaMsg.properties,SAML/SSO,SAML/SSO,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_zimbraMyoneloginSamlSigningCert,ZaMsg.properties,IdP’s X.509 signing certificate:,شهادة توقيع X.509 الخاصة بمزود الهوية:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_zimbraSamlSpEntityId,ZaMsg.properties,SP Entity ID:,معرّف كيان SP:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_zimbraSamlACSURL,ZaMsg.properties,Assertion Consumer Service URL:,رابط خدمة تأكيد المستهلك:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_zimbraSamlSSOURL,ZaMsg.properties,IdP Single Sign-On (SSO) URL:,عنوان URL لتسجيل الدخول الموحد (SSO) لمزود الهوية:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_zimbraSamlSLOURL,ZaMsg.properties,IdP Single Logout (SLO) URL:,عنوان URL لتسجيل الخروج الفردي (SLO) لمزود الهوية:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_zimbraSamlNameIdFormat,ZaMsg.properties,NameID format:,صيغة NameID:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_zimbraSamlDateFormat,ZaMsg.properties,Date format for instant timestamps:,تنسيق التاريخ للحصول على طوابع زمنية فورية:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_zimbraSamlLogoutLandingURL,ZaMsg.properties,Logout landing redirect URL:,رابط إعادة التوجيه إلى صفحة تسجيل الخروج:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_zimbraSamlDocumentEncoding,ZaMsg.properties,Document encoding:,ترميز المستند:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_zimbraSamlErrorURL,ZaMsg.properties,Error redirect URL:,عنوان URL لإعادة التوجيه في حالة الخطأ:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_zimbraSamlInactiveAccountURL,ZaMsg.properties,Inactive account redirect URL:,رابط إعادة توجيه الحساب غير النشط:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_zimbraSamlWebclientDisabledAccountUrl,ZaMsg.properties,Webclient-disabled account redirect URL:,عنوان URL لإعادة توجيه الحساب المعطل في متصفح الويب:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_zimbraSamlSpSigningKey,ZaMsg.properties,SP signing key:,مفتاح توقيع مزود الخدمة:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_zimbraSamlSpSigningCertificate,ZaMsg.properties,SP signing certificate:,شهادة توقيع مزود الخدمة:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_zimbraCsrfRefererCheckEnabled,ZaMsg.properties,CSRF referer check:,التحقق من مُحيل CSRF:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_zimbraCsrfAllowedRefererHosts,ZaMsg.properties,CSRF allowed referer host:,المضيف المُحيل المسموح به في حالة CSRF:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_xmlFile,ZaMsg.properties,XML file:,ملف XML:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_upload,ZaMsg.properties,Upload,رفع,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_samlXmlUploadExplanation,ZaMsg.properties,You can upload IdP metadata XML to fill the fields below.,يمكنك تحميل بيانات تعريف موفر الهوية بصيغة XML لملء الحقول أدناه.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,fileUnselectedError,ZaMsg.properties,You must choose a file.,يجب عليك اختيار ملف.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,parseXmlSuccessful,ZaMsg.properties,XML file could be parsed successfully.,تم تحليل ملف XML بنجاح.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,parseXmlFailed,ZaMsg.properties,XML file could not be parsed.,تعذر تحليل ملف XML.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_samlTestInformation,ZaMsg.properties,SP initiated login URL will use the Domain from configured URL in zimbraWebClientLoginURL value. Test SSO needs active account on IdP & Zimbra both for test to succeed.,سيستخدم عنوان URL لتسجيل الدخول الذي يبدأه موفر الخدمة النطاق من عنوان URL المُكوّن في قيمة zimbraWebClientLoginURL. يتطلب اختبار تسجيل الدخول الموحد حسابًا نشطًا على كلٍ من موفر الهوية وZimbra لكي ينجح الاختبار.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_samlTestExplanation,ZaMsg.properties,You can test SAML login based on the saved settings. Please make sure settings are saved before you start testing.,يمكنك اختبار تسجيل الدخول عبر SAML بناءً على الإعدادات المحفوظة. يرجى التأكد من حفظ الإعدادات قبل بدء الاختبار.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_testNow,ZaMsg.properties,Test now,اختبر الآن,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_samlStatus,ZaMsg.properties,SAML status:,حالة SAML:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,LBL_samlLastTested,ZaMsg.properties,Last tested:,آخر اختبار:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,samlStatusNotTested,ZaMsg.properties,Not tested,لم يتم اختباره,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,samlStatusInProgress,ZaMsg.properties,In progress,في تَقَدم,Wrong,"""في تَقَدم"" is a stiff, non-idiomatic calque of English ""in progress""; standard Arabic UI convention is ""قيد التنفيذ"".",قيد التنفيذ
ar,samlStatusFailed,ZaMsg.properties,Failed ({0}),فشل ({0}),Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,samlStatusSucceeded,ZaMsg.properties,Succeeded,نجحت,Awkward,"""نجحت"" is feminine while the paired status ""فشل"" (Failed) is masculine; aligned to masculine ""نجح"" for gender consistency between the two status values.",نجح
ar,LBL_confirmation,ZaMsg.properties,Confirmation,تأكيد,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,samlInTestingByAnotherAdmin,ZaMsg.properties,Another administrator may be testing. Do you want to start testing? The other test will fail if you start it.,قد يقوم مسؤول آخر بإجراء الاختبار. هل تريد بدء الاختبار؟ سيفشل الاختبار الآخر إذا بدأته أنت.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,samlTestConfigurationError,ZaMsg.properties,Neither zimbraWebClientLoginURL nor zimbraPublicServiceHostname is configured. Please update configuration and try it again.,لم يتم تكوين كل من zimbraWebClientLoginURL و zimbraPublicServiceHostname. يرجى تحديث الإعدادات والمحاولة مرة أخرى.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,samlTestInitializationError,ZaMsg.properties,Initialization for SAML test failed. Please wait for a while and try it again.,فشلت عملية تهيئة اختبار SAML. يرجى الانتظار قليلاً ثم المحاولة مرة أخرى.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,samlTestResultFetchError,ZaMsg.properties,Test result could not be fetched. Please reload the page to get the result.,تعذر جلب نتيجة الاختبار. يرجى إعادة تحميل الصفحة للحصول على النتيجة.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,samlTestError_MISSING_SAML_RESPONSE,ZaMsg.properties,IdP did not return SAMLResponse,لم يُرجع موفر الهوية SAMLResponse,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,samlTestError_MISSING_PAYLOAD,ZaMsg.properties,SAMLResponse content was empty or corrupted,كان محتوى SAMLResponse فارغًا أو تالفًا,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,samlTestError_NAMEID_NOT_FOUND,ZaMsg.properties,An account was not found or NameID format mismatch,لم يتم العثور على حساب أو هناك عدم تطابق في تنسيق اسم المستخدم,Wrong,"The technical term ""NameID"" was translated as ""اسم المستخدم"" (username) instead of being kept as the established SAML term, inconsistent with LBL_zimbraSamlNameIdFormat which correctly keeps ""NameID"".",لم يتم العثور على حساب أو هناك عدم تطابق في تنسيق NameID
ar,samlTestError_CERT_MISMATCH,ZaMsg.properties,Certificate mismatch,عدم تطابق الشهادة,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,samlTestError_ACS_URL_MISMATCH,ZaMsg.properties,ACS URL configured in IdP did not match an actual endpoint in Zimbra,لم يتطابق عنوان URL الخاص بخدمة التحكم في الوصول (ACS) المُكوّن في موفر الهوية (IdP) مع نقطة نهاية فعلية في زيمبرا.,Wrong,"""ACS"" was incorrectly expanded as ""خدمة التحكم في الوصول"" (Access Control Service) instead of ""خدمة تأكيد المستهلك"" (Assertion Consumer Service, as used in LBL_zimbraSamlACSURL); also transliterated ""Zimbra"" as ""زيمبرا"" instead of keeping the Latin brand name as done elsewhere.",لم يتطابق عنوان URL الخاص بخدمة تأكيد المستهلك (ACS) المُكوّن في موفر الهوية (IdP) مع نقطة نهاية فعلية في Zimbra.
ar,samlTestError_ASSERTION_NOT_YET_VALID,ZaMsg.properties,Assertion not yet valid,هذا الادعاء غير صحيح بعد,Wrong,"""الادعاء"" (claim/allegation) is inconsistent with the established rendering of ""Assertion"" as ""التأكيد"" used in samlTestError_ASSERTION_EXPIRED; also ""صحيح"" (correct) is a false friend for ""valid"" (صالح).",هذا التأكيد غير صالح بعد
ar,samlTestError_ASSERTION_EXPIRED,ZaMsg.properties,Assertion expired,انتهت صلاحية التأكيد,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,samlTestError_RESPONSE_STATUS_ERROR,ZaMsg.properties,IdP returned a non-success response,أعاد موفر الهوية استجابة غير ناجحة,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,samlTestError_INVALID_PROTOCOL,ZaMsg.properties,Unsupported SAML version,إصدار SAML غير مدعوم,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,samlTestError_SERVER_NOT_FOUND,ZaMsg.properties,No mailbox server was found for an authenticated account,لم يتم العثور على خادم بريد لحساب مصادق عليه,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,samlTestError_WEBCLIENT_DISABLED,ZaMsg.properties,Web client feature was disabled on an authenticated account,تم تعطيل ميزة عميل الويب في حساب مصادق عليه,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,samlTestError_INTERNAL_ERROR,ZaMsg.properties,Internal server error,خطأ في الخادم الداخلي,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,samlTestError_ACCOUNT_INACTIVE,ZaMsg.properties,An authenticated account was not active on Zimbra,لم يكن الحساب الموثق نشطًا على Zimbra,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ar,samlTestError_Unknown,ZaMsg.properties,Unknown error,خطأ غير معروف,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,NAD_SAML_SSO,ZaMsg.properties,SAML/SSO,SAML/SSO,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_zimbraMyoneloginSamlSigningCert,ZaMsg.properties,IdP’s X.509 signing certificate:,Certificat de signatura X.509 de l’IdP:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_zimbraSamlSpEntityId,ZaMsg.properties,SP Entity ID:,ID d’entitat SP:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_zimbraSamlACSURL,ZaMsg.properties,Assertion Consumer Service URL:,URL del servei al consumidor d’afirmació:,Awkward,"""servei al consumidor d’afirmació"" is an awkward, non-idiomatic word order for ""Assertion Consumer Service""; reworded to the more standard Catalan technical phrasing.",URL del servei de consum d’afirmacions:
ca,LBL_zimbraSamlSSOURL,ZaMsg.properties,IdP Single Sign-On (SSO) URL:,URL d’inici de sessió únic (SSO) de l’IdP:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_zimbraSamlSLOURL,ZaMsg.properties,IdP Single Logout (SLO) URL:,URL de tancament de sessió únic (SLO) de l’IdP:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_zimbraSamlNameIdFormat,ZaMsg.properties,NameID format:,Format NameID:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_zimbraSamlDateFormat,ZaMsg.properties,Date format for instant timestamps:,Format de data per a les marques de temps instantànies:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_zimbraSamlLogoutLandingURL,ZaMsg.properties,Logout landing redirect URL:,URL de redirecció de destinació per tancar la sessió:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_zimbraSamlDocumentEncoding,ZaMsg.properties,Document encoding:,Codificació de documents:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_zimbraSamlErrorURL,ZaMsg.properties,Error redirect URL:,URL de redirecció d’error:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_zimbraSamlInactiveAccountURL,ZaMsg.properties,Inactive account redirect URL:,URL de redirecció del compte inactiu:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_zimbraSamlWebclientDisabledAccountUrl,ZaMsg.properties,Webclient-disabled account redirect URL:,URL de redirecció del compte desactivat per webclient:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_zimbraSamlSpSigningKey,ZaMsg.properties,SP signing key:,Clau de signatura de SP:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_zimbraSamlSpSigningCertificate,ZaMsg.properties,SP signing certificate:,Certificat de signatura de SP:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_zimbraCsrfRefererCheckEnabled,ZaMsg.properties,CSRF referer check:,Comprovació de referència CSRF:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_zimbraCsrfAllowedRefererHosts,ZaMsg.properties,CSRF allowed referer host:,Amfitrió de referència permès per CSRF:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_xmlFile,ZaMsg.properties,XML file:,Fitxer XML:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_upload,ZaMsg.properties,Upload,Carregar,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_samlXmlUploadExplanation,ZaMsg.properties,You can upload IdP metadata XML to fill the fields below.,Podeu carregar metadades XML d’IdP per omplir els camps següents.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,fileUnselectedError,ZaMsg.properties,You must choose a file.,Heu de triar un fitxer.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,parseXmlSuccessful,ZaMsg.properties,XML file could be parsed successfully.,El fitxer XML s’ha pogut analitzar correctament.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,parseXmlFailed,ZaMsg.properties,XML file could not be parsed.,No s’ha pogut analitzar el fitxer XML.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_samlTestInformation,ZaMsg.properties,SP initiated login URL will use the Domain from configured URL in zimbraWebClientLoginURL value. Test SSO needs active account on IdP & Zimbra both for test to succeed.,L’URL d’inici de sessió iniciat pel proveïdor de servei utilitzarà el domini de l’URL configurat al valor de zimbraWebClientLoginURL. L’SSO de prova necessita un compte actiu a l’IdP i a Zimbra perquè la prova tingui èxit.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_samlTestExplanation,ZaMsg.properties,You can test SAML login based on the saved settings. Please make sure settings are saved before you start testing.,Podeu provar l’inici de sessió SAML basant-vos en la configuració desada. Assegureu-vos que la configuració s’hagi desat abans de començar la prova.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_testNow,ZaMsg.properties,Test now,Prova ara,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_samlStatus,ZaMsg.properties,SAML status:,Estat de SAML:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,LBL_samlLastTested,ZaMsg.properties,Last tested:,Última prova:,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,samlStatusNotTested,ZaMsg.properties,Not tested,No provat,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,samlStatusInProgress,ZaMsg.properties,In progress,En progrés,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,samlStatusFailed,ZaMsg.properties,Failed ({0}),Fallat ({0}),Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,samlStatusSucceeded,ZaMsg.properties,Succeeded,Ha tingut èxit,Awkward,"""Ha tingut èxit"" is a full verb phrase while the paired status ""Fallat"" is a short adjective/participle; aligned to the adjective form ""Reeixit"" for stylistic consistency between the two status values.",Reeixit
ca,LBL_confirmation,ZaMsg.properties,Confirmation,Confirmació,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,samlInTestingByAnotherAdmin,ZaMsg.properties,Another administrator may be testing. Do you want to start testing? The other test will fail if you start it.,Pot ser que un altre administrador estigui fent proves. Voleu començar les proves? L’altra prova fallarà si l’inicieu.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,samlTestConfigurationError,ZaMsg.properties,Neither zimbraWebClientLoginURL nor zimbraPublicServiceHostname is configured. Please update configuration and try it again.,"No hi ha configurats ni zimbraWebClientLoginURL ni zimbraPublicServiceHostname. Si us plau, actualitzeu la configuració i torneu-ho a intentar.",Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,samlTestInitializationError,ZaMsg.properties,Initialization for SAML test failed. Please wait for a while and try it again.,La inicialització per a la prova SAML ha fallat. Espereu una estona i torneu-ho a intentar.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,samlTestResultFetchError,ZaMsg.properties,Test result could not be fetched. Please reload the page to get the result.,No s’ha pogut obtenir el resultat de la prova. Torneu a carregar la pàgina per obtenir el resultat.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,samlTestError_MISSING_SAML_RESPONSE,ZaMsg.properties,IdP did not return SAMLResponse,L’IdP no ha retornat SAMLResponse,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,samlTestError_MISSING_PAYLOAD,ZaMsg.properties,SAMLResponse content was empty or corrupted,El contingut de SAMLResponse era buit o estava malmès.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,samlTestError_NAMEID_NOT_FOUND,ZaMsg.properties,An account was not found or NameID format mismatch,No s’ha trobat cap compte o el format de NameID no coincideix,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,samlTestError_CERT_MISMATCH,ZaMsg.properties,Certificate mismatch,Discrepància de certificat,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,samlTestError_ACS_URL_MISMATCH,ZaMsg.properties,ACS URL configured in IdP did not match an actual endpoint in Zimbra,L’URL ACS configurada a l’IdP no coincidia amb un punt final real a Zimbra.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,samlTestError_ASSERTION_NOT_YET_VALID,ZaMsg.properties,Assertion not yet valid,Afirmació encara no vàlida,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,samlTestError_ASSERTION_EXPIRED,ZaMsg.properties,Assertion expired,L’afirmació ha caducat,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,samlTestError_RESPONSE_STATUS_ERROR,ZaMsg.properties,IdP returned a non-success response,L’IdP ha retornat una resposta sense èxit.,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,samlTestError_INVALID_PROTOCOL,ZaMsg.properties,Unsupported SAML version,Versió SAML no compatible,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
ca,samlTestError_SERVER_NOT_FOUND,ZaMsg.properties,No mailbox server was found for an authenticated account,No s’ha trobat cap servidor de bústia de correu per a un compte autenticat,Correct,"Matches the English source in meaning, register, and terminology; no issues found.",
